Ethereum,XRP,BITCOIN CASH,BIBOX TOKEN,Nebulas,EOS,BINANCE COIN,CARDANO,UPDOWN
170.91,0.321024,290.81,0.396499,1.21,5.17,22.9,0.074524,1
171.04,0.323457,292.1,0.387585,1.23,5.23,23.93,0.07804,1
169.99,0.322881,290.09,0.470588,1.21,5.22,24.21,0.074106,1
173.17,0.327647,299.6,0.450526,1.27,5.44,24.94,0.076506,1
173.23,0.331008,305.79,0.483858,1.31,5.47,24.31,0.0795,1
173.41,0.336402,305.92,0.486709,1.31,5.48,21.71,0.081775,1
166.33,0.334832,308.85,0.477364,1.32,5.44,19.57,0.083074,1
166.48,0.32634,317.62,0.461056,1.41,5.52,19.78,0.083783,1
160.53,0.3196,313.6,0.3949,1.3,5.36,19.4,0.0822,1
167.62,0.3282,288.24,0.403,1.39,5.54,19.32,0.0843,0
163.97,0.3256,278.69,0.4094,1.43,5.32,18.65,0.0834,1
164.57,0.3267,282.9,0.3607,1.47,5.37,18.23,0.0831,0
165.04,0.3299,272.74,0.3369,1.25,5.33,17.69,0.0831,1
177.33,0.3547,304.55,0.3834,1.29,5.84,18.26,0.0896,0
175.29,0.3487,294.74,0.4166,1.14,5.54,18.35,0.0834,1
180.01,0.358,309.22,0.4762,1.13,5.52,18.06,0.0867,0
174.09,0.3592,319.71,0.4604,1.22,5.43,19.11,0.0901,1
165.33,0.3535,305.41,0.5132,1.22,5.33,19.19,0.0899,1
165.14,0.3621,291.94,0.5395,1.22,5.32,19.34,0.0903,1
157.41,0.331,286.69,0.5374,1.22,5.06,19.19,0.0872,1
160.43,0.3417,298.62,0.523,1.19,5.2,18.78,0.0907,0
164.05,0.3519,241.29,0.5032,1.17,5.03,19.72,0.0846,1
141.51,0.3129,167.56,0.4775,1.09,4.21,17.89,0.0723,1
141.59,0.3093,168.9,0.4706,0.9467,4.2,17.38,0.07,1
142.29,0.311,166.99,0.5254,0.9373,4.15,16.82,0.0718,0
143.15,0.3079,170.4,0.3313,0.9659,4.3,16.48,0.0719,1
137.81,0.307,168.19,0.3442,0.9243,4.25,16.58,0.0656,1
139.64,0.31,171.35,0.3258,0.9424,4.31,16.59,0.067,0
134.03,0.3012,159.11,0.2961,0.8581,3.66,16.27,0.0615,1
133.82,0.3027,160.11,0.2993,0.8968,3.65,16.78,0.0586,1
136.06,0.3079,164.57,0.3132,0.9346,3.63,17.15,0.0611,0
137.2,0.3113,166.01,0.2945,0.9158,3.67,15.14,0.0635,0
136.1,0.3105,156.92,0.3069,0.8398,3.62,15.18,0.0578,1
135.06,0.3107,152.69,0.3259,0.8405,3.62,14.39,0.0526,1
139.08,0.3174,158.32,0.3395,0.8616,3.71,15.16,0.0533,0
138.52,0.3167,159.89,0.236,0.8104,3.72,15.43,0.0519,1
137.66,0.3149,160.75,0.1936,0.8233,3.71,15.52,0.05,1
138.55,0.3151,153.8,0.1991,0.862,3.74,15.6,0.0497,1
141.09,0.3185,155.81,0.203,0.8451,3.8,15.99,0.0512,0
136.45,0.3145,143.5,0.198,0.8177,3.69,14.88,0.0498,1
132.15,0.3109,131.92,0.1897,0.7869,3.56,14.85,0.0476,1
131.67,0.3132,127.76,0.1899,0.7822,3.58,14.96,0.0462,1
133.29,0.3102,128.27,0.1988,0.8139,3.63,15.2,0.0472,0
132.39,0.3088,128.16,0.1895,0.7966,3.56,14.33,0.0473,1
135.62,0.3131,131.4,0.2047,0.6919,3.71,14.39,0.0455,0
137.2,0.3135,133.39,0.2174,0.6779,3.75,14.49,0.0466,0
133.54,0.3075,127.59,0.1971,0.6269,3.59,14.18,0.0424,1
136.79,0.3126,130.53,0.2204,0.635,3.75,14.91,0.0426,0
137.33,0.3146,131.38,0.1911,0.6302,3.73,14.48,0.0425,1
136.55,0.3145,131.36,0.1751,0.6172,3.75,13.63,0.0428,1
125.62,0.3025,123.19,0.155,0.5869,3.23,11.42,0.0402,1
130.54,0.311,129.65,0.1558,0.6121,3.52,11.31,0.042,0
132.41,0.3131,130.5,0.1645,0.6187,3.47,11.68,0.0423,0
134.95,0.3151,131.06,0.1637,0.6261,3.49,11.25,0.0429,1
135.49,0.3134,130.34,0.1473,0.6224,3.51,10.25,0.0428,1
134.85,0.3105,131.11,0.151,0.6157,3.5,9.82,0.043,1
136,0.3164,132.07,0.1478,0.6067,3.42,9.42,0.0429,1
137.82,0.3253,133.56,0.142,0.6342,3.54,9.69,0.0435,0
134.32,0.2972,127.3,0.1391,0.591,3.55,10.09,0.042,1
157.68,0.3313,150.2,0.1602,0.6706,4.24,10.65,0.0482,0
148.04,0.3215,143.8,0.1461,0.6141,3.87,10.77,0.0458,1
145.3,0.32,141.44,0.1407,0.573,3.8,10.42,0.0448,1
148.87,0.3314,146.8,0.1481,0.5982,3.88,11.09,0.0473,0
143.66,0.3215,141.67,0.1431,0.5899,3.53,10.48,0.0459,1
145.33,0.3198,143.18,0.1382,0.6119,3.45,9.56,0.0454,1
133.88,0.3029,124.44,0.1291,0.5802,2.88,9.21,0.0415,1
122.94,0.3002,121.55,0.1306,0.5619,2.81,9.08,0.041,1
121.57,0.3003,121.12,0.1286,0.5469,2.79,9.26,0.0404,1
120.59,0.2996,120.98,0.1286,0.5332,2.74,8.69,0.0404,1
122.09,0.3028,122,0.1317,0.5438,2.86,8.85,0.041,0
122.54,0.3037,122.49,0.1302,0.5476,2.94,9.29,0.0417,0
120.97,0.3015,122.13,0.1337,0.5442,2.75,9.4,0.0416,1
124.89,0.3076,126.9,0.1287,0.5506,2.8,9,0.0427,0
119.49,0.3106,127.86,0.1296,0.5554,2.78,8.83,0.0412,1
119.33,0.3104,130.42,0.1278,0.5537,2.72,8.58,0.0407,1
104.27,0.2902,114.89,0.1195,0.5047,2.34,7.75,0.0364,1
104.62,0.289,114.69,0.1233,0.5065,2.34,8,0.0367,0
107.32,0.2992,117.47,0.1243,0.5172,2.39,7.7,0.038,0
107.62,0.2992,118.96,0.1218,0.5179,2.4,7.06,0.038,1
107.2,0.3017,118.21,0.1202,0.5248,2.37,6.73,0.0381,1
108.78,0.3083,120.22,0.122,0.5253,2.36,6.89,0.039,0
107.01,0.3066,115.7,0.1227,0.5225,2.33,6.53,0.0387,1
106.34,0.3085,113.64,0.1235,0.5188,2.31,6.23,0.0382,1
108.27,0.32,117.64,0.1258,0.5274,2.32,6.14,0.0394,0
104.6,0.2866,109.8,0.1242,0.5252,2.26,6.26,0.038,1
105.35,0.2929,111.15,0.1247,0.5258,2.23,6.16,0.0385,0
